code,kr-name
UAA000,국토종합용도지역미분류
UAA100,국토종합용도지역특정지역
UAA999,국토종합용도지역기타
UAZ000,국토이용기타용도지역지구미지정
UAZ100,국토이용기타용도지역지구
UAZ999,국토이용기타용도지역지구기타
UB1000,동계올림픽특별구역미분류
UB1100,동계올림픽특별구역
UB1999,동계올림픽특별구역기타
UBA000,수도권정비권역미지정
UBA100,과밀억제권역
UBA200,성장관리권역
UBA300,자연보전권역
UBA999,수도권정비권역기타
UBB000,지역균형개발및중소기업육성미분류
UBB100,광역개발권역
UBB200,개발촉진지구
UBB300,중소기업특별지원지역
UBB400,복합단지
UBB500,특정지역
UBB600,지역종합개발지구
UBB999,지역균형개발및중소기업육성기타
UBC000,제주도개발용도지역미지정
UBC100,절대보전지역
UBC200,상대보전지역
UBC300,중산간보전지역
UBC310,지하수자원보전지구
UBC311,지하수자원보전지구1등급
UBC312,지하수자원보전지구2등급
UBC313,지하수자원보전지구3등급
UBC314,지하수자원보전지구4등급
UBC320,생태계보전지구
UBC321,생태계보전지구1등급
UBC322,생태계보전지구2등급
UBC323,생태계보전지구3등급
UBC324,생태계보전지구4-1등급
UBC325,생태계보전지구4-2등급
UBC326,생태계보전지구5등급
UBC330,경관보전지구
UBC331,경관보전지구1등급
UBC332,경관보전지구2등급
UBC333,경관보전지구3등급
UBC334,경관보전지구4등급
UBC335,경관보전지구5등급
UBC400,관리보전지역
UBC999,제주도개발기타
UBD000,탄광지역진흥사업추진대상지역미분류
UBD100,탄광지역진흥사업추진대상지역
UBD999,탄광지역진흥사업추진대상지역기타
UBE000,폐광지역진흥지구미분류
UBE100,폐광지역진흥지구
UBE999,폐광지역진흥지구기타
UBF000,기업도시개발기업도시미분류
UBF100,산업교역형기업도시
UBF200,지식기반형기업도시
UBF300,관광레져형기업도시
UBF400,혁신거점형기업도시
UBF999,기업도시개발기업도시기타
UBG000,기업도시개발용도구역미분류
UBG100,기업도시개발구역
UBG999,기업도시개발용도구역기타
UBH000,제주국제자유도시용도구역미분류
UBH100,지하수자원특별관리구역
UBH200,제주첨단과학기술단지
