code,kr-name,zoning-name
00,지정되지않음,
11,제1종전용주거지역,residePclnd
12,제2종전용주거지역,residePclnd
13,제1종일반주거지역,residePclnd
14,제2종일반주거지역,residePclnd
15,제3종일반주거지역,residePclnd
16,준주거지역,residePclnd
17,일반주거지역,residePclnd
21,중심상업지역,cmrcPclnd
22,일반상업지역,cmrcPclnd
23,근린상업지역,cmrcPclnd
24,유통상업지역,cmrcPclnd
31,전용공업지역,indstryPclnd
32,일반공업지역,indstryPclnd
33,준공업지역,indstryPclnd
41,보전녹지지역,greensPclnd
42,생산녹지지역,greensPclnd
43,자연녹지지역,greensPclnd
44,개발제한구역,greensPclnd
51,용도미지정,
61,관리지역,manageAreaPclnd
62,보전관리지역,presvManagePclnd
63,생산관리지역,prdctnManagePclnd
64,계획관리지역,planManagePclnd
71,농림지역,aglfrsPclnd
81,자연환경보전지역,nrvfPclnd
