PNU,Year,Month,Price,DealArea,PblntfPclnd,RegstrSe,Lndcgr,LndpclAr,PrposArea1,PrposArea2,LadUseSittn,TpgrphHg,TpgrphFrm,RoadSide,PclndIndex,PclndChgRt,AcmtlPclndChgRt,LargeClPclndIndex,LargeClPclndChgRt,LargeClAcmtlPclndChgRt,PPI,CPI,MT1,MT1_500m,MT1_1000m,MT1_3000m,CS2,CS2_500m,CS2_1000m,CS2_3000m,PS3,PS3_500m,PS3_1000m,PS3_3000m,SC4,SC4_500m,SC4_1000m,SC4_3000m,AC5,AC5_500m,AC5_1000m,AC5_3000m,PK6,PK6_500m,PK6_1000m,PK6_3000m,OL7,OL7_500m,OL7_1000m,OL7_3000m,SW8,SW8_500m,SW8_1000m,SW8_3000m,BK9,BK9_500m,BK9_1000m,BK9_3000m,CT1,CT1_500m,CT1_1000m,CT1_3000m,AG2,AG2_500m,AG2_1000m,AG2_3000m,PO3,PO3_500m,PO3_1000m,PO3_3000m,AT4,AT4_500m,AT4_1000m,AT4_3000m,AD5,AD5_500m,AD5_1000m,AD5_3000m,FD6,FD6_500m,FD6_1000m,FD6_3000m,CE7,CE7_500m,CE7_1000m,CE7_3000m,HP8,HP8_500m,HP8_1000m,HP8_3000m,PM9,PM9_500m,PM9_1000m,PM9_3000m,LandUsePlans
2914012000112310005,2016,6,4544628,1650.3,2381000,Re1,Lc08,1650.3,A121,A200,Us230,Hg02,Fm01,Rs02,78.027,0.42,1.698,77.984,0.233,1.237,98.09,95.611,146,1,2,7,0,46,76,220,298,4,21,193,405,1,8,42,109,121,206,854,56,56,108,344,477,1,4,28,748,0,2,6,62,52,91,229,121,5,13,45,46,86,212,660,372,1,8,29,676,0,3,17,3,55,68,104,0,569,1150,3322,3,104,228,712,121,85,148,355,149,22,35,112,UQQ300(1)/UQS100(3)/UQI100(1)/UQS118(3)/UQQ100(1)/UQA01X(1)/UQA210(1)/UDX200(1)/UNE416(1)/UNF300(1)/UQS120(3)
2914011600105940006,2015,1,359109,4539.0,115000,Re1,Lc02,4539,A142,A200,Us610,Hg02,Fm03,Rs08,74.523,0.148,0.148,75.029,0.196,0.196,100.89,94.643,661,0,1,8,309,2,4,238,555,0,4,240,913,0,1,45,715,0,3,960,345,1,8,254,758,0,1,40,2240,0,0,4,302,1,3,217,1017,0,0,34,419,1,11,665,519,0,1,26,1041,0,0,12,1533,0,0,86,361,4,47,3576,604,0,13,728,1105,0,0,366,1144,0,0,103,UQS520(3)/UQQ100(1)/UQA01X(1)/UQA420(1)/UNE412(1)/UIA100(3)
2914011700100030012,2013,3,157303,3590.0,118000,Re1,Lc02,3590,A142,A200,Us610,Hg02,Fm03,Rs08,72.93,0.085,0.197,73.536,0.093,0.233,105.26,92.952,1212,0,0,12,698,0,2,230,1046,0,0,251,1226,0,0,49,380,1,1,1272,424,1,2,232,863,0,2,36,2788,0,0,2,826,0,1,228,1514,0,0,35,666,0,4,652,1069,0,0,23,1509,0,0,11,1589,0,0,78,701,0,6,3714,739,0,2,761,1250,0,0,411,1449,0,0,117,ZQ0001(1)/UQQ100(1)/UQA01X(1)/UNF300(1)/UQA420(1)/UNE412(1)/UQS520(1)
2920011800110910002,2014,6,181500,4000.0,139100,Re1,Lc02,4000,A142,A243,Us610,Hg02,Fm02,Rs08,72.33,0.104,0.465,74.358,0.17,0.605,104.61,94.248,1321,0,0,10,878,0,2,169,790,0,6,244,1028,0,0,51,601,0,5,1094,407,2,5,168,732,0,6,36,3791,0,0,0,450,1,2,161,1115,0,0,26,434,1,7,449,1352,0,0,20,827,0,2,14,1378,0,0,6,56,2,22,2655,146,1,7,589,450,1,2,308,1222,0,0,94,UNE412(1)/UQA420(2)/ZQ0001(1)
2920011700108660002,2020,6,500000,4000.0,215000,Re1,Lc02,4000,A143,A200,Us610,Hg02,Fm03,Rs08,92.342,0.349,2.298,92.762,0.309,1.947,102.48,99.71,1924,0,0,9,616,0,10,222,175,1,16,281,697,0,5,52,641,0,26,1092,692,0,11,187,732,0,5,47,5525,0,0,0,616,0,4,168,674,0,1,15,654,0,18,560,867,0,1,15,151,2,3,20,1726,0,0,65,69,1,85,3180,525,0,37,720,836,0,18,339,748,0,5,105,UQA430(1)/UOC800(1)/UPB210(1)/ZQ0001(1)/UNE412(1)
2920011700108570006,2014,4,317582,2155.0,90000,Re1,Lc02,2155,A142,A200,Us610,Hg02,Fm03,Rs08,72.16,0.059,0.228,74.113,0.04,0.272,104.58,94.214,1376,0,0,8,360,1,14,218,435,1,29,276,616,0,7,52,673,0,60,1059,335,5,10,205,186,2,2,41,6013,0,0,0,443,2,12,165,1263,0,0,25,534,0,24,577,979,0,1,16,537,0,2,18,1260,0,0,65,112,6,149,3166,114,3,34,698,393,12,26,301,283,5,10,94,UNE413(1)/UPB210(1)/ZQ0001(1)/UQF120(1)/UQA420(1)/UIA100(3)
2920011600106800001,2021,3,2069346,4349.2,741500,Re1,Lc28,4349.2,A121,A200,Us240,Hg02,Fm02,Rs05,95,0.286,0.781,95.31,0.288,0.83,107.04,101.84,436,1,1,4,64,31,56,160,162,2,31,180,308,1,4,37,197,12,165,530,62,31,70,182,1342,0,0,35,7703,0,0,0,144,14,39,119,402,2,7,24,143,56,138,409,100,2,4,11,676,0,2,22,63,52,57,65,53,474,860,2154,65,87,177,489,208,31,74,194,209,10,20,68,UQS200(1)/UQS117(3)/UHA100(1)/UQI100(1)/UQS118(3)/UQA210(1)/UDX200(1)/UQS120(3)
2917014100111100012,2015,7,514372,3305.0,191400,Re1,Lc08,3305,A133,A200,Us430,Hg02,Fm02,Rs06,79.101,0.165,1.333,76.071,0.255,1.588,100.45,95.08,763,0,1,4,154,18,44,138,162,2,9,171,107,1,4,32,186,3,83,443,86,22,79,171,1474,0,0,37,8104,0,0,0,91,6,36,110,192,4,21,23,88,33,93,379,479,1,4,10,542,0,1,21,285,30,57,65,80,156,696,1888,61,54,136,437,307,8,47,179,394,3,12,64,UQV300(3)/UHA100(1)/UHJ300(3)/UHJ100(1)/UOA110(2)/UOA120(2)/UQS117(3)/UQA01X(1)/UQA330(1)/UBK600(1)/UBK501(1)
2917014000200030000,2019,11,125179,5421.0,98000,Re2,Lc05,5421,A143,A200,Us720,Hg03,Fm07,Rs12,91.357,0.264,3.578,90.666,0.382,4.395,103.41,99.481,2107,0,0,2,513,0,4,89,455,1,1,84,806,0,1,20,1309,0,0,241,244,2,19,131,1833,0,0,24,9485,0,0,0,481,1,3,60,525,0,15,21,482,1,1,232,1855,0,0,7,403,1,2,25,1643,0,0,60,411,1,3,1227,606,0,4,256,1147,0,0,91,1601,0,0,28,UQQ300(1)/UOA120(2)/UQV200(2)/UBI100(1)/UQA01X(1)/UFM200(2)/UQA330(1)/UHA210(1)/UQS115(2)/UBK600(1)/UBK300(1)
4688031026106840050,2013,3,40566,6708.0,15000,Re1,Lc02,6708,A144,A200,Us610,Hg02,Fm06,Rs10,70.982,0.101,0.241,74.913,0.103,0.244,105.26,92.952,2934,0,0,2,1175,0,0,41,1511,0,0,29,1842,0,0,12,808,0,1,48,1251,0,0,85,2183,0,0,9,10507,0,0,0,1517,0,0,30,1568,0,0,20,556,0,1,84,2760,0,0,4,437,1,4,27,2434,0,0,43,584,0,1,359,1182,0,0,107,2206,0,0,36,2512,0,0,9,UQA430(1)/UDV100(1)/UFM120(3)/UMZ100(1)/UFM100(3)
4688031026200120001,2015,9,14882,12431.0,7600,Re2,Lc05,12431,A144,A243,Us730,Hg03,Fm07,Rs10,74.783,0.263,2.983,78.336,0.244,1.989,99.39,94.966,1874,0,0,1,2102,0,0,6,1794,0,0,3,1795,0,0,2,802,0,1,2,1924,0,0,6,2907,0,0,2,12010,0,0,0,2917,0,0,1,3051,0,0,0,1263,0,0,13,1810,0,0,2,274,1,3,36,3209,0,0,0,1239,0,0,18,1721,0,0,17,3604,0,0,0,1854,0,0,1,UFM100(1)/UMZ100(2)/UDV100(2)/UFM120(1)/UQA430(2)
4688031025200330004,2019,5,6352,31391.0,7030,Re2,Lc05,31391,A144,A200,Us720,Hg03,Fm07,Rs12,87.517,0.396,2.101,89.045,0.326,1.721,103.79,99.652,1550,0,0,1,1858,0,0,1,1551,0,0,2,1551,0,0,2,1775,0,0,2,2090,0,0,2,3502,0,0,0,13146,0,0,0,3224,0,0,0,3500,0,0,0,1550,0,0,6,1471,0,0,2,510,0,5,37,2329,0,0,1,1338,0,0,12,970,0,1,11,3444,0,0,0,1561,0,0,1,UNF600(2)/UQA430(1)/UFM100(1)/UMZ100(2)/UQA430(3)/UDV100(3)/UOC300(2)/UQU500(2)/UDV100(1)/UFM120(1)
4688031028201530000,2021,2,6373,10512.0,1530,Re2,Lc05,10512,A144,A200,Us720,Hg04,Fm02,Rs12,93.863,0.378,0.703,94.516,0.285,0.58,105.91,101.58,1771,0,0,1,2039,0,0,2,2161,0,0,3,2160,0,0,1,1964,0,0,1,2327,0,0,4,3309,0,0,0,14039,0,0,0,2947,0,0,1,3225,0,0,0,1793,0,0,5,1713,0,0,2,377,3,5,34,1785,0,0,1,1576,0,0,16,888,0,2,9,3120,0,0,0,1802,0,0,1,UNF600(2)/UMZ100(1)/UQA430(1)/UFM100(1)/UQA430(3)/UDV100(3)/UDV100(1)/UFM120(1)
4688031025200030000,2013,1,606,49488.0,479,Re2,Lc05,49488,A144,A200,Us720,Hg04,Fm07,Rs12,70.862,0.071,0.071,74.784,0.071,0.071,104.96,92.728,2257,0,0,1,2375,0,0,1,2591,0,0,2,3561,0,0,0,2338,0,0,1,2649,0,0,6,4126,0,0,0,15432,0,0,0,3703,0,0,0,3916,0,0,0,2283,0,0,5,2246,0,0,2,638,0,1,29,1081,0,0,1,2125,0,0,11,1669,0,0,9,3797,0,0,0,2298,0,0,1,UNF600(2)/UNF500(2)/UQA430(1)/UFM100(1)/UMZ100(2)/UQA430(3)/UDV100(3)/UDV100(1)/UFM120(1)
4688025023100710003,2020,12,40841,1902.0,6200,Re1,Lc02,1902,A144,A200,Us530,Hg03,Fm07,Rs10,93.208,0.381,3.639,93.971,0.312,3.322,103.9,100.33,4224,0,0,0,4214,0,0,0,3688,0,0,0,3945,0,0,0,4212,0,0,0,2924,0,0,1,4096,0,0,0,17742,0,0,0,4747,0,0,0,4486,0,0,0,4066,0,0,0,4123,0,0,0,57,1,2,17,2660,0,0,1,2488,0,0,1,2463,0,0,3,5336,0,0,0,4263,0,0,0,UQA430(1)/UMZ100(1)/UJC100(2)/UM1100(1)/UDV100(1)
4688025023200310000,2017,4,757,46512.0,664,Re2,Lc05,46512,A171,A200,Us720,Hg03,Fm07,Rs12,78.452,0.483,1.391,81.92,0.334,1.117,101.48,97.442,5538,0,0,0,3871,0,0,0,3739,0,0,0,3748,0,0,0,5523,0,0,0,2876,0,0,1,3385,0,0,0,19002,0,0,0,5172,0,0,0,3619,0,0,0,3963,0,0,0,4184,0,0,0,926,0,1,34,2106,0,0,6,2156,0,0,3,2092,0,0,4,5883,0,0,0,5576,0,0,0,UQC001(1)/UFM100(1)/UFN500(1)/UFM110(1)/UM1100(1)/UMZ100(1)
4688025033200860006,2018,1,3761,9146.0,1180,Re2,Lc05,9146,A162,A200,Us720,Hg03,Fm07,Rs12,81.58,0.412,0.412,84.432,0.303,0.303,102.52,98.106,5452,0,0,0,3216,0,0,0,4219,0,0,0,4221,0,0,0,6850,0,0,0,2970,0,0,1,2965,0,0,1,20000,0,0,0,6235,0,0,0,2964,0,0,1,4523,0,0,0,4920,0,0,0,227,1,4,37,1433,0,0,8,1803,0,0,14,1511,0,0,7,7037,0,0,0,7037,0,0,0,UFM200(1)/UFM100(3)/UQC001(3)/UFM110(3)/UMZ100(1)/UQB300(1)
4688025033200430000,2014,11,1667,26380.0,1230,Re2,Lc05,26380,A162,A271,Us720,Hg03,Fm07,Rs12,72.608,0.284,1.874,76.665,0.169,1.612,103.15,94.015,4626,0,0,0,2906,0,0,1,4801,0,0,0,4799,0,0,0,7678,0,0,0,2764,0,0,2,3013,0,0,0,20000,0,0,0,7017,0,0,0,2997,0,0,1,5123,0,0,0,4651,0,0,0,117,2,4,35,1208,0,0,8,2352,0,0,13,2353,0,0,11,7846,0,0,0,7795,0,0,0,UFM100(2)/UFM200(2)/UMZ100(2)/UFM110(2)/UQB300(2)/UQC001(2)
4688025033200230000,2018,9,6054,12694.0,1170,Re2,Lc05,12694,A162,A271,Us720,Hg03,Fm07,Rs12,84.36,0.511,3.832,86.535,0.334,2.801,104.62,100.221,4697,0,0,0,2984,0,0,1,5358,0,0,0,5356,0,0,0,8256,0,0,0,3072,0,0,0,3393,0,0,0,20000,0,0,0,6720,0,0,0,3473,0,0,0,5329,0,0,0,4713,0,0,0,298,1,5,36,1003,0,0,8,1784,0,0,5,1784,0,0,5,8422,0,0,0,8367,0,0,0,UFM100(2)/UFM200(2)/UMZ100(2)/UFM110(2)/UQB300(2)/UQC001(2)
